word,type,english,class_decl,root,notes
ilur,Adjective,Neat,,ilur,
nilari,Verb,"Write, to",,nil,
moni,Verb,"Sleep, to",,mon,
tarama,Noun,Habit,2,tarm,
tarmis,Adverb,Usually,,tarm,
dolun,Noun,Noise,2,,
adolim,Adverb,Soundly,,,
urun,Noun,Fire,2,,
vush,Noun,Bolt,2,,
bafu,Noun,Hand,2,,
kedas,Adjective,Magical,,,
urinas,Adjective,Fire,,,
kalkedan,Noun,Illusion,1,,
shurat,Noun,"Shield, protection",2,,
musan,Noun,Sphere,2,,
liras,Adjective,Fast,,,
lirish,Noun,Haste,3,,
volkish,Noun,Slowness,3,,
kedari,Verb,"Cast a spell, to",,,
nehirkidari,Verb,"Charm, to",,,
nehirkidarvan,Noun,Enchantment,1,,
mona,Noun,Sleep,1,,
kalishan,Noun,Visibility,3,,
kalnusishan,Noun,Invisibility,3,,
kaliras,Adjective,Visible,,,
kalnusir,Adjective,Invisible,,,
shavir,Adjective,Misty,,,
satu,Noun,Step,3,,
vamari,Verb,"Detect, to",,,
vamush,Noun,Detection,3,,
nehirani,Verb,"Think, to",,,
naryal,Noun,Thought,1,,
kedanosh,Noun,"Counterspell, Antimagic",1,,
vali,Verb,"Fall, to",,,
valu,Noun,Fallen,2,,
linas,Adjective,Soft,,,
darkedan,Noun,Evocation (Elemental Magic),1,,
daki,Verb,"Take, to",,,
ataki,Verb,"Absorb, to",,,
atakan,Noun,Absorption,3,,
rurin,Noun,Fear,3,,
kati,Verb,"Give, to",,,
rurari,Verb,"Scare, to",,,
rurat,Noun,Scared,2,,
kesas,Adjective,Vital,,,
marvas,Adjective,Deadly,,,
rahas,Adjective,"Demonic, fiendish",,,
ruras,Adjective,Scary,,,
shis,Adjective,Unique,,,Strong Adj. Shis - shis - shis
shirvan,Noun,Growth,3,,
amaritas,Adjective,Free,,,
nalmas,Adjective,Temporal,,,
dulas,Adjective,Noisy,,,
vanir,Noun,"Stop, To",3,,
shasavan,Noun,Flight,3,,
lushi,Verb,"Lose, to",,,Transitive
rulushi,Verb,"Lose, to",,,Detransitive
meku,Noun,Dog,2,,
tor,Adjective,Old,,,Strong Adj. Tor/toris - Tor/toris - Tor/toris
ator,Adjective,"Ancient, Remote",,,See tor
shikesas,Adjective,Primordial,,,
nikari,Verb,"Bring, to",,,
nikaran,Noun,Bringer,-,,
awakaran,Noun,Devourer,1,,
awakaras,Adjective,"Ravenous, famished",,,
rwasi,Verb,"Born, to",,,
darasi,Verb,"Descend, to",,,
darasan,Noun,Descendant,,,
guras,Adjective,Different,,,
guri,Verb,"Be different, to",,,
turin,Noun,Day,3,,
viturin,Adverb,Today,,,
viturinas,Adjective,Of today,3,,
mileti,Verb,"Love, to",,,
kedalis,Noun,Gedanic language,1,,
miletan,Noun,Love,3,,
muhan,Noun,Order,1,,
muhi,Noun,"Arrange, to",,,
muhat,Adjective,Arranged,,,
shimar,Noun,Humanoid,1,,
naras,Adjective,Long,,,
narsan,Noun,Lenght,3,,
narsim,Adverb,"Still, even now",,,Adverbial form of Nersën
dartu,Noun,Village,2,,
sainas,Adjective,Simple,,,"Not contrary of ""hard"""
ka,Conjunction,And,,,Among sentences.
mushi,Verb,"Succeed, manage, to",,,
nosh,Noun,Nothing,3,,
akur,Preposition,Against,,,See Preposition Rules.
turvari,Verb,"Invade, to",,,
turvaran,Noun,Invasion,3,,
turvur,Noun,Invader,,,
var,Preposition,From  ,,,See Preposition Rules.
nanu,Noun,Way,3,,
vanim,Adverb,"So, in that way, thus",,,
gan,Noun,Year,3,,
nan,Numeral,Hundred,,,
shinan,Numeral,One Hundred,,,
shinangan,Noun,Century,3,,
maki,Verb,"Control, command, to",,,
makan,Noun,Ruler,,,
maku,Noun,Slave,,,
nurki,Verb,"Ravage, ruin, to",,,
nurkan,Noun,Devastation,3,,
mirtu,Noun,Land,2,,
vanoshas,Adjective,Unstoppable,,,
sutim,Adverb,"However, Nevertheless, Even so",,,
tushi,Verb,"Learn, to",,,
malim,Adverb,"Too, also, as well",,,
kidur,Noun,"Wizard, sorcerer, magic user",1,,
shilas,Adjective,First,,,
ralas,Adjective,Second,,,
vulas,Adjective,Third,,,
vakas,Adjective,Fourth,,,
aras,Adjective,Fifth,,,
kanas,Adjective,Sixth,,,
rukas,Adjective,Seventh,,,
hulas,Adjective,Eighth,,,
vukas,Adjective,Ninth,,,
kashas,Adjective,Tenth,,,
ruki,Verb,"Ally, to",,,
ru,Preposition,With,,,See Preposition Rules.
tulan,Noun,End,3,,
tulim,Adverb,Finally,,,
makavan,Noun,Dominion,3,,
varkas,Adjective,Draconic,,,
kitan,Noun,"Tale, story",2,,
kitim,Adverb,It is said that,,,
dutan,Noun,"Period, age",2,,
yalisi,Verb,"Communicate, to",,,
sutan,Noun,"Reign, kingdom, Empire",3,,
sharnas,Adjective,"Big, magnificent",,,
idan,Noun,World,2,,Irregular Declension (Idani in Oblique)
yan,Pronoun,I,,,Irregular Declension
dan,Pronoun,You,,,Irregular Declension
tanwa,Pronoun,You (Formal),,,Irregular Declension
san,Pronoun,He/She/it,1,,Irregular Declension
kun,Pronoun,He/She/it,2,,
vas,Pronoun,He/She/it,3,,
nak,Preposition,In,,,See Preposition Rules.
fas,Preposition,To,,,See Preposition Rules.
kur,Preposition,By,,,See Preposition Rules.
yun,Preposition,"Onto, Above",,,See Preposition Rules.
arus,Preposition,"Down, Ago",,,See Preposition Rules.
va,Preposition,For,,,See Preposition Rules.
kani,Pronoun,Who,,,
ku,Pronoun,What,,,
vakim,Pronoun,Where (from),,,
bakim,Pronoun,Where (to),,,
nukim,Pronoun,Where,,,
vekim,Pronoun,Why,,,
nukis,Pronoun,When,,,
kam,Pronoun,How,,,
takash,Pronoun,How much,,,
nul,Adjective,Few,,,Strong Adj. -  Nul - Nul - Nul
vuldas,Adjective,Other,,,
kin,Adjective,Big,,,Strong Adj. Kin - kin -kin 
narsas,Adjective,Wide,,,
dumas,Adjective,Thick,,,
nutas,Adjective,Heavy,,,
udilas,Adjective,Xort,,,
kilas,Adjective,Narrow,,,
midas,Adjective,Thin,,,
nadu,Noun,Fish,2,,
shasu,Noun,Bird,2,,
naku,Noun,Snake,2,,
ashur,Noun,Worm,2,,
shadul,Noun,Tree ,2,,
shadular,Noun,Forest,2,,
tar,Pronoun,This,,,
sar,Pronoun,That,,,
vir,Pronoun,This/That,,,
shir,Pronoun,That (not visible),,,
hus,Preposition,Like,,,See Preposition Rules
yuruni,Verb,"Spark, ignite, to",,,
guna,Noun,Revolt,3,,
kurami,Verb,"Can, be able to",,,short
sumas,Adjective,Abstract,3,sum,
